"OBJECTID",TOPHEIGHT,BASEHEIGHT
7316,"22.10","5.30"
7318,"84.20",NULL
7322,"87.00",NULL
7324,NULL,NULL
7325,"12.10",NULL
7328,"19.50","9.60"
7329,"91.90","4.00"
7330,NULL,NULL
7333,NULL,NULL
7339,"62.20","36.60"
7341,NULL,NULL
7343,NULL,NULL
7346,NULL,NULL
7347,"10.20",NULL
7349,NULL,NULL
7350,NULL,NULL
7351,NULL,NULL
7358,"20.20","5.10"
7359,"46.70",NULL
7360,NULL,NULL
7362,"51.20",NULL
7364,NULL,NULL
7366,"12.70","6.20"
7367,NULL,NULL
7368,NULL,NULL
7369,"12.60",NULL
7372,"20.20","3.80"
7373,"29.00",NULL
7377,NULL,NULL
7378,"21.00",NULL
7380,"23.90","13.60"
7383,NULL,NULL
7384,"50.50","6.70"
7387,NULL,NULL
7388,NULL,NULL
7389,NULL,NULL
7390,"75.10","44.70"
7393,NULL,NULL
7394,"14.49",NULL
7397,"10.10","3.50"
7400,"23.10","4.60"
7401,NULL,NULL
7402,NULL,NULL
7408,NULL,NULL
7410,"12.90","4.60"
7411,"14.30",NULL
7422,"13.60",NULL
7423,NULL,NULL
7425,"12.80","5.50"
7427,"22.80","13.70"
7432,NULL,NULL
7435,NULL,NULL
7436,"13.50",NULL
7437,"22.80",NULL
7439,"13.60","4.60"
7444,NULL,NULL
7445,"7.70","4.40"
7446,NULL,NULL
7449,"13.50",NULL
7450,"11.90","4.60"
7453,NULL,NULL
7456,"18.60","3.50"
7461,NULL,NULL
7464,NULL,NULL
7465,"17.00","5.20"
7466,"44.50","17.30"
7467,"9.90",NULL
7469,"25.30","4.60"
7473,"74.20","4.30"
7474,"10.50",NULL
7475,"17.50",NULL
7476,NULL,NULL
7477,NULL,NULL
7482,"21.70","4.00"
7489,NULL,NULL
7490,NULL,NULL
7492,"24.90","3.40"
7493,"74.60","4.20"
7499,"19.70","5.70"
185031,NULL,NULL
185209,"71.00","36.00"
185235,"54.50","27.80"
185264,"39.60","37.00"
185279,"96.30","5.40"
185430,"65.60","33.30"
185452,"60.60","27.80"
185466,"65.60","37.50"
185641,"66.00","37.50"
185686,"135.10","5.40"
185859,"165.10","3.70"
185892,"8.80","5.00"
185893,"74.60","4.20"
185916,"48.20","5.20"
185917,NULL,NULL
185940,"165.10","3.70"
185961,"51.50","7.00"
186024,"46.90","6.40"
186137,"10.20",NULL
186166,NULL,NULL
186167,"7.50","3.70"
186180,"73.20","7.00"
186188,"42.00","6.70"
186205,"175.40","5.80"
186282,"15.80","7.00"
186315,"164.50","4.20"
186334,NULL,NULL
186508,"78.40","5.20"
186509,"35.80","5.20"
186535,"79.20","6.40"
186536,"115.20",NULL
186566,"76.60","4.00"
186582,"74.20","4.30"
186595,NULL,NULL
186626,"46.90","44.30"
186678,"25.30","4.60"
186689,"26.80","4.60"
186700,"18.20","6.40"
186701,"38.60","4.30"
186754,"23.20","4.60"
186789,"76.60","5.20"
186857,"24.30","4.40"
186864,"26.80","4.60"
186875,"163.70","44.30"
186897,"77.30","5.20"
186917,"30.80","4.30"
186929,"171.30","4.40"
186998,"76.70","4.60"
187004,"140.00","11.80"
187037,"18.40","4.60"
187065,"163.70","44.30"
187070,"77.80","6.40"
187095,"26.60","4.30"
187104,"17.00","5.20"
187153,"26.60","4.30"
187167,"72.40","4.60"
187184,"21.20","4.40"
187234,"60.40","6.70"
187258,"77.20","5.20"
187294,"24.40","4.40"
187295,"79.60","3.70"
187327,"79.60","4.60"
187344,"97.40","94.50"
187345,"91.10","43.20"
187375,"25.60","5.20"
187388,"78.10","4.60"
187398,"93.70","89.90"
187432,"25.60","5.20"
187433,"38.00","4.60"
187455,"25.80",NULL
187456,"79.30","3.70"
187467,"10.20","4.60"
187494,"93.30","22.80"
187495,"25.60","5.20"
187521,"60.40","6.70"
187522,"76.60","4.60"
187546,"25.60","5.20"
187547,"79.90","4.40"
187596,"93.40","3.70"
187630,"51.90","5.20"
187682,"100.40","6.40"
187694,"100.20","96.00"
187695,"93.80","22.80"
187696,"13.60","4.60"
187710,"71.00","4.90"
187720,"76.60","4.60"
187721,"25.60","4.60"
187735,"99.00","96.00"
187736,"74.50","5.20"
187745,"25.80",NULL
187769,"24.80","4.90"
187770,"25.60","4.60"
187784,"27.10","5.20"
187836,"40.40","3.70"
187851,"60.40","6.80"
187852,"27.10","5.20"
187866,"28.10","4.60"
187963,"49.80","13.80"
187964,"27.10","5.50"
187997,"34.90","4.90"
188022,"71.70","5.10"
188049,"10.60","5.50"
188085,"16.50",NULL
188110,"36.20","3.70"
188134,"12.90","5.50"
188144,"16.50",NULL
188168,"93.80","32.80"
188193,"60.20","10.00"
188206,"100.40","6.40"
188288,"36.20","3.70"
188351,"111.40","23.10"
188362,"91.50","4.90"
188363,"75.30","4.80"
188380,"26.60","5.50"
188437,"31.60","5.50"
188474,"91.10","45.10"
188491,"73.00","5.50"
188540,"31.60","5.50"
188555,"95.20","42.80"
188556,"75.50","3.50"
188608,"90.60","8.20"
188609,"31.60","5.50"
188674,"31.60","5.50"
188675,"10.10","3.50"
188721,"145.80","66.50"
188733,"31.30","5.50"
188754,"145.80","66.50"
188755,"176.90","14.80"
188796,"18.00",NULL
188839,"50.30","44.60"
188851,"60.60","6.70"
188878,"154.60","20.40"
188886,"155.20","66.50"
188899,"29.30","4.90"
188962,"96.30","23.90"
188963,"29.30","4.90"
188964,"76.50","4.30"
188978,"98.40","4.30"
188998,NULL,NULL
189036,"11.60",NULL
189052,"90.00","4.60"
189061,"27.40","4.90"
189104,"46.30",NULL
189110,"27.40","4.90"
189125,"117.50","23.90"
189138,"11.20",NULL
189150,"28.50",NULL
189151,"26.80","4.90"
189208,"155.20","66.50"
189209,"119.90","23.90"
189210,"66.50","4.90"
189247,"24.60","4.30"
189260,"63.90","18.00"
189276,"45.20",NULL
189285,"114.50","23.90"
189309,"75.50","42.10"
189325,"62.00","6.50"
189331,"75.80","4.60"
189345,"64.90","44.30"
189346,"27.70",NULL
189347,"126.00","4.10"
189357,"30.20","4.30"
189409,"31.00","4.90"
189437,"29.60","23.90"
189444,"32.90","4.90"
189456,"31.00","4.90"
189470,"64.80","41.60"
189471,"25.90","5.80"
189478,"112.50","35.80"
189479,"25.80","5.80"
189491,"64.90","45.00"
189492,"47.80","22.90"
189493,"26.60","6.20"
189529,"31.00","4.00"
189552,"42.10","4.90"
189562,"28.20","4.90"
189578,"103.70","26.20"
189600,"114.40","20.00"
189601,"18.10","12.70"
189602,"118.90","4.10"
189636,"61.20","47.10"
189637,"74.80","4.90"
189649,"26.40",NULL
189656,"103.00","35.80"
189711,"8.70",NULL
189751,"34.00",NULL
189761,"51.30","26.20"
189784,"23.20",NULL
189801,"36.30",NULL
189816,"24.80","4.70"
189840,"120.60","42.70"
189882,"149.60","20.20"
189888,"112.70","46.70"
189920,"104.80","4.10"
189922,"66.20","25.30"
189923,"92.40","37.50"
189932,"66.60","4.70"
189962,"45.90",NULL
189963,"40.70","38.70"
189997,"28.00","25.30"
190077,"64.90","29.60"
190102,"76.70","4.00"
190116,"82.50","4.90"
190130,"167.90","38.40"
190131,"33.50","4.90"
190159,"53.70","29.60"
190254,"73.00","4.70"
190290,"82.10","4.00"
190305,"33.10","4.70"
190306,"53.10","4.50"
190315,"168.50","62.20"
190342,"31.30","4.90"
190380,"31.20","4.90"
190403,"79.30","10.20"
190416,"120.00","21.70"
190453,"31.90","5.80"
190471,"67.50",NULL
190496,"31.90","5.80"
190519,"168.60","62.20"
190528,"31.90","5.80"
190553,"32.80","5.80"
190554,"32.50","4.90"
190591,"32.80","6.20"
190658,"100.70","8.40"
190699,"74.00","4.90"
190726,"57.10","8.40"
190769,"25.90",NULL
190770,"95.90","6.20"
190799,"25.50","8.40"
190804,"72.00","25.90"
190826,"58.00","25.90"
190827,"127.70","5.00"
190862,"132.90","79.80"
190886,"137.60","79.80"
190887,"28.90","5.30"
190935,"40.60","4.90"
190945,"46.30","25.90"
190964,"53.80","15.30"
190972,"27.00",NULL
190979,"89.70",NULL
190992,"83.60","28.60"
191010,NULL,NULL
191035,"39.20","20.60"
191048,"47.90","30.00"
191080,"95.50","22.10"
191098,"38.30","20.80"
191124,"48.50","30.90"
191185,"170.30","54.40"
191197,"137.40","79.80"
191198,"54.80","34.10"
191235,"74.50","35.20"
